date,well_id,field,formation,oil_bbl,gas_mcf,water_bbl,flowing_hours,tubing_head_pressure_psi,downtime_hours,liquid_bbl,water_cut_pct,gor_scf_bbl
2024-01-01,EXM-PB-101,Permian North,Wolfcamp A,788.09,757.04,178.63,24.0,2895.5,0.0,966.72,18.48,960.6
2024-01-02,EXM-PB-101,Permian North,Wolfcamp A,805.24,750.79,187.15,24.0,2827.7,0.0,992.39,18.86,932.38
2024-01-03,EXM-PB-101,Permian North,Wolfcamp A,742.64,728.55,180.07,24.0,2778.7,0.0,922.71,19.52,981.03
2024-01-04,EXM-PB-101,Permian North,Wolfcamp A,790.14,794.64,150.69,24.0,2835.8,0.0,940.8299999999999,16.02,1005.7
2024-01-05,EXM-PB-101,Permian North,Wolfcamp A,887.76,847.49,205.15,24.0,2821.4,0.0,1092.91,18.77,954.64
2024-01-06,EXM-PB-101,Permian North,Wolfcamp A,796.37,738.34,172.3,24.0,2926.6,0.0,968.6700000000001,17.79,927.13
2024-01-07,EXM-PB-101,Permian North,Wolfcamp A,797.0,750.2,178.06,24.0,2859.4,0.0,975.06,18.26,941.28
2024-01-08,EXM-PB-101,Permian North,Wolfcamp A,816.79,734.73,148.4,24.0,2849.4,0.0,965.1899999999999,15.38,899.53
2024-01-09,EXM-PB-101,Permian North,Wolfcamp A,611.82,557.77,149.93,18.0,2768.0,6.0,761.75,19.68,911.66
2024-01-10,EXM-PB-101,Permian North,Wolfcamp A,795.25,765.87,198.7,24.0,2758.5,0.0,993.95,19.99,963.06
2024-01-11,EXM-PB-101,Permian North,Wolfcamp A,823.43,810.24,203.05,24.0,2870.5,0.0,1026.48,19.78,983.98
2024-01-12,EXM-PB-101,Permian North,Wolfcamp A,782.03,752.77,172.03,24.0,2879.0,0.0,954.06,18.03,962.58
2024-01-13,EXM-PB-101,Permian North,Wolfcamp A,799.4,795.27,174.58,24.0,2793.4,0.0,973.98,17.92,994.83
2024-01-14,EXM-PB-101,Permian North,Wolfcamp A,801.1,772.05,201.41,24.0,2803.4,0.0,1002.51,20.09,963.74
2024-01-15,EXM-PB-101,Permian North,Wolfcamp A,843.8,909.75,199.7,24.0,2789.7,0.0,1043.5,19.14,1078.16
2024-01-16,EXM-PB-101,Permian North,Wolfcamp A,802.99,765.64,178.98,24.0,2740.3,0.0,981.97,18.23,953.49
